7678	2246	2198	33015	32573	32574
10798	2216	9833	32744	32743	68164
10436	6424	1440	54738	25800	25801
7468	2039	2007	31119	30829	30830
7432	1985	3013	30637	30636	39639
9299	8250	2463	62622	34988	34989
3668	3779	3036	43400	39779	39780
2785	3798	3168	37830	40582	37831
6538	1572	1614	27006	27005	27381
7104	1930	1876	30138	29643	29644
5970	3630	3684	43214	43213	43474
10661	1907	7109	29923	29922	57725
10426	6293	6253	54211	54038	54039
7208	7207	2007	58138	30832	30833
2804	2821	2833	38001	38158	38002
7381	3838	7333	44270	44269	58670
7015	1904	1819	29895	29135	29136
8099	8098	7955	61980	61388	61389
2984	3241	2681	39445	36928	36929
5318	3235	3465	40990	40989	42299
8867	2789	2738	37868	37417	37418
11028	2803	9093	37992	37991	65969
9010	3623	3512	43173	42558	42559
2371	3818	3610	34144	43097	34145
7842	2177	7841	32385	32384	60896
1495	1493	1574	26278	26277	26294
2688	3258	3351	36990	41119	36991
3873	3876	3168	44435	40585	40586
8376	2517	8336	35480	35479	62987
8996	3560	3523	42819	42617	42618
8967	2750	3583	37523	37522	42939
2216	3889	3865	32746	44394	32747
8396	2587	3196	36082	36081	40761
8926	2790	2717	37876	37232	37233
8985	2806	8875	38020	38019	65202
7197	3056	2489	39920	35230	35231
1554	1697	1734	26827	28077	26828
9846	2327	7939	33734	33733	61310
6859	5697	1817	51739	29117	29118
7882	2243	7785	32990	32989	60661
11030	9115	2819	66046	38139	38140
8131	3095	6769	40145	40144	56202
6255	6188	1403	53776	25481	25482
9201	3403	7748	41970	41969	60522
10758	2191	7724	32516	32515	60417
1658	1654	1618	27723	27419	27421
1761	1827	1764	28638	28659	28639
1658	1688	1656	27754	27741	27740
2978	2542	3311	35703	35702	39410
8130	6769	3095	56204	40144	40147
7882	7670	2243	60174	32992	32990
6041	2984	2936	39447	39142	39143
7567	2138	2192	32033	32032	32528
8511	8510	2604	63782	36235	36236
10868	8259	8134	62657	62122	62123
7166	1987	1938	30652	30219	30220
8298	8293	2440	62806	34781	34782
7954	7953	7844	61381	60908	60909
8211	6870	3277	56677	41210	41211
10995	3813	3680	44146	43453	43454
3003	1755	3145	28590	28591	39567
2977	2544	2567	35725	35724	35914
9170	7323	3799	58623	44074	44075
8796	3838	3782	44272	43987	43988
8386	2581	2620	36036	36035	36376
8791	2711	8738	37178	37177	64715
8038	2413	8035	34540	34539	61726
7962	2332	7848	33787	33786	60922
7798	2249	7744	33036	33035	60505
8428	2602	3401	36217	36216	41954
7272	3227	3208	40943	40832	40833
7577	2199	2200	32581	32580	32597
2487	2502	3610	35214	35346	35216
3262	2502	2487	35345	35214	35215
7900	2153	2154	32161	32160	32170
10711	2045	7569	31176	31175	59720
1755	1763	3145	28592	28656	28591
8271	2570	2507	35938	35391	35392
7674	2198	2246	32576	32573	33017
9746	7165	1912	57976	29962	29963
7492	7491	2155	59388	32181	32182
11030	9096	9106	65982	65981	66013
7569	2142	7568	32067	32066	59713
8551	8511	2638	63786	36532	36533
6705	3157	1546	40518	26750	26751
7950	3166	5410	40572	40571	50565
7375	2048	2046	31198	31180	31181
6814	1726	1764	28325	28324	28662
2751	3112	2804	37532	38006	37533
7109	1934	1956	30181	30180	30376
10870	8264	8180	62680	62305	62306
9511	2440	3516	34785	34784	42580
7833	3688	2323	43498	33695	33696
10672	7323	7207	58625	58140	58141
9555	4647	8910	47498	47497	65336
10873	8292	8290	62801	62794	62795
8306	8267	8220	62695	62490	62491
9180	4349	3410	46323	42008	42009
7572	2170	2144	32323	32081	32082
8098	2356	7955	34014	34013	61388
8515	8478	2625	63628	36423	36424
9170	2007	7323	30836	30835	58623
1625	1581	1624	27078	27077	27468
1855	1799	3265	28960	28962	29450
7195	8215	8304	58087	62470	58088
5910	3001	3085	39557	39556	40093
7232	2076	2019	31464	30934	30935
9606	7930	5308	61265	50153	50154
8677	8676	2715	64476	37210	37211
7070	6970	1884	57111	29718	29719
8785	3574	5447	42889	42888	50733
7900	7847	2153	60918	32163	32161
10889	2504	2445	35362	34828	34829
8781	3185	3649	40696	40695	43310
8036	8035	2413	61728	34539	34542
6430	6426	1472	54746	26088	26089
10699	7478	2147	59330	32110	32111
8304	2544	2977	35726	35725	39407
7724	7721	2265	60406	33184	33185
10890	5244	2570	49887	35940	35941
3159	3168	3876	40529	40585	40532
1907	1882	10631	29700	29702	29926
6915	1826	6871	29193	29192	56682
9423	5296	3208	50097	40835	40836
3469	1552	1468	26810	26050	26051
8977	2771	2752	37710	37540	37541
9052	8967	3583	65526	42939	42941
8837	8469	3668	63589	43402	43403
6295	1468	1552	26053	26050	26812
8750	2649	8677	36639	36638	64482
8099	7955	2378	61389	34213	34214
9103	2821	2823	38161	38160	38180
9746	1912	7023	29963	29965	57349
7630	7483	2151	59346	32142	32143
8667	2465	4379	35009	35008	46451
9826	7786	9471	60668	60667	67239
3262	2567	2583	35917	35916	36050
6351	1493	6241	26281	26280	53992
7223	1985	7159	30640	30639	57950
1799	1773	3384	28731	28732	28963
1799	1855	1773	28960	28730	28731
9847	2376	7950	34195	34194	61364
9772	7333	8796	58673	58672	64931
5697	1793	1817	28915	28914	29117
7229	1988	7168	30661	30660	57984
7611	7563	2190	59697	32504	32505
10990	2754	8985	37557	37556	65586
5697	3003	3145	39569	39567	40446
2752	2771	3572	37540	37711	37543
10550	3094	9500	40141	40140	67340
7061	1930	7014	30144	30146	57316
8550	2937	7531	39151	39150	59554
9510	8632	2647	64280	36620	36621
7069	1937	3035	30209	30208	39776
8131	6769	2464	56202	35000	35001
10798	7929	9843	61260	61259	68188
8130	2463	6769	34992	34991	56204
8254	2418	2417	34591	34578	34579
7465	2138	2114	32035	31798	31799
3888	3040	2784	39805	37820	37821
7273	4037	3523	45105	42620	42621
7798	7794	2249	60702	33038	33036
8387	2538	2581	35663	35666	36038
7842	7841	2328	60896	33743	33744
5034	3235	3079	40992	40056	40057
7149	1979	3663	30582	30581	43366
8742	2739	2716	37426	37221	37222
3274	2663	2662	36760	36754	36753
8978	8977	2752	65558	37541	37544
6183	1402	3562	25470	25469	42829
10747	2140	9801	32050	32049	68081
10389	8509	6018	63778	53059	53061
7521	7520	2170	59512	32325	32326
9881	8305	2489	62851	35233	35235
7640	1825	7020	29185	29184	57339
6252	1440	1442	25803	25806	25819
8688	2367	8036	34109	34108	61735
7899	2305	2277	33538	33286	33287
6299	1441	1402	25811	25472	25473
6018	2636	3768	36516	36515	43920
1395	3138	3216	25405	40405	25406
8790	8789	8735	64907	64706	64707
10717	7564	2135	59700	32008	32009
10824	8077	3904	61888	44574	44575
6818	1733	1695	28391	28059	28060
3888	3903	3040	44504	39807	39805
9837	2356	7905	34017	34016	61168
8750	8748	8686	64753	64519	64520
7381	2097	3838	31650	31649	44270
10924	9388	2649	66965	36641	36642
7163	7112	1959	57738	30404	30401
11299	3680	2715	43456	37216	37217
7676	7623	2193	59963	32535	32536
6362	1440	1512	25808	25807	26451
10873	2519	8292	35500	35499	62801
8791	2751	2711	37537	37180	37178
8560	5910	2665	52600	36785	36786
1546	1468	1502	26056	26055	26358
8008	3470	2402	42330	34440	34441
7788	2268	2298	33214	33213	33476
3384	1773	3129	28732	28733	40353
8606	4426	2746	46625	37485	37484
8472	8386	2620	63209	36376	36378
9872	2487	3818	35218	35217	44172
