23194	20491	2603	219501	93534	93535
19957	12430	12194	174257	172531	172532
25209	8338	16820	141577	141576	200196
15995	13149	7204	179134	132312	132313
19122	16517	11326	198627	165819	165820
30709	27111	1956	248413	87461	87462
15842	7001	11990	130630	130629	171033
25328	18008	2716	206610	94561	94562
23604	14120	6191	185022	123975	123976
35833	19508	2489	214609	92476	92477
35995	25455	33619	241423	241422	272982
35169	27381	32479	249489	249488	269388
28624	3353	12729	100238	100237	176365
32873	8	22552	69167	69166	228761
11107	36370	64173	164063	282481	164065
20563	19726	11705	215720	168840	168841
12632	2571	12032	93245	93244	171328
3901	3854	29131	104412	104411	104790
27251	10952	10951	162799	162788	162789
23995	20475	10101	219424	155917	155918
28495	10947	12546	162754	162753	175087
21334	21144	6	222497	69143	69144
22500	87	6431	69933	69932	125972
5113	5111	1653	114946	84621	84622
20303	12912	10202	177636	156724	156725
24436	7310	7311	133161	133160	133171
24284	15919	7098	195515	131453	131454
22018	18408	3020	208754	97286	97287
27382	7663	16321	136102	136101	197636
12804	12135	3823	172102	104178	104179
18628	7958	18047	138519	138518	206807
26299	9757	17903	153124	153123	206059
26741	797	19268	76529	76528	213307
19443	1361	18899	81815	81814	211355
17940	11514	895	167318	77429	77430
23085	5506	14744	118351	118350	188902
12048	419	10897	72952	72951	162376
15645	6719	13090	128319	128318	178753
16179	4223	7477	107467	107466	134553
9945	18856	66342	154689	211116	154691
26742	7415	3443	134059	101012	101013
26415	1084	11967	79241	79240	170864
26978	10552	10615	159591	159590	160109
1395	14666	25136	82130	188409	82132
20706	14666	1395	188408	82130	82131
22479	14152	4768	185218	112085	112086
18587	2636	16955	93830	93829	200877
12837	3629	12612	102578	102577	175535
20303	10202	1535	156725	83475	83476
26400	17997	704	206547	75634	75635
26646	1311	18992	81347	81346	211812
29124	16816	8332	200180	141528	141529
24362	15994	926	195882	77740	77741
19053	11236	11577	165084	165083	167812
15252	6191	6192	123979	123978	123985
19996	11314	2517	165726	92747	92748
35585	13564	3997	181805	105559	105560
16496	7897	7895	138030	138011	138012
27750	24362	926	236901	77741	77743
5037	3722	3713	103360	103289	103290
9990	2415	9988	91776	91775	155013
36088	3010	3551	97192	97191	101926
2097	4204	12339	88802	107314	88804
15418	4392	14088	108888	108887	184844
2663	12135	12804	94081	172102	94083
36368	15333	29816	192269	192268	259537
13191	28939	62832	179397	255993	179399
20063	15744	6859	194550	129468	129469
19280	8491	18955	142812	142811	211625
23870	1077	5634	79169	79168	119422
26460	673	24794	75362	75361	238705
14024	3729	3782	103420	103419	103845
28	4400	13072	69358	108958	69360
10792	28	13072	69359	69360	161508
18693	9339	11598	149779	149778	167977
1828	23251	29691	86306	232122	86308
24796	23251	1828	232121	86306	86307
26842	10446	18435	158709	158708	208891
11951	9617	3851	152000	104390	104391
26559	14497	3070	187341	97733	97734
29030	26012	3142	243773	98394	98395
10135	8511	3825	142977	104192	104193
24348	7182	7181	132137	132128	132129
20582	18826	10950	210941	162779	162780
28495	21754	552	225184	74207	74208
76	6625	49428	69827	127549	69829
23995	6708	13185	128218	128217	179354
126	4576	24531	70296	110454	70298
24529	126	24531	70297	70298	237576
21862	3981	11741	105419	105418	169114
24219	3216	265	99047	71526	71527
5334	28	30	69362	69361	69377
28	6046	6052	69364	122812	69363
6046	28	5334	69364	69362	116895
35461	5312	30388	116711	116710	261808
25169	1489	16782	83037	83036	199983
35290	5496	9825	118262	118261	153688
26349	5496	23076	118265	118264	231260
12094	10311	3881	157640	104633	104634
18375	12294	1100	173268	79386	79387
28032	2192	19183	89698	89697	212845
35844	5243	29544	116129	116128	258380
13121	233	4608	71247	71246	110719
17379	9087	9205	147713	147712	148675
28923	1404	8680	82225	82224	144377
33584	28156	25221	252781	240468	240469
5913	5911	1757	121705	85619	85620
6374	30	6416	69379	69380	125523
26877	10754	10490	161201	159065	159066
67340	31769	55	266782	69636	69635
39	25930	33727	69458	243450	69460
25931	25930	39	243449	69458	69459
27217	10905	13252	162431	162430	179791
63946	20258	63114	218386	218385	484400
26300	962	8234	78111	78110	140718
31693	16532	11037	198700	163510	163511
31993	24897	7974	239115	138651	138652
28183	18493	10527	209171	159368	159369
28510	21432	17900	223778	206038	206039
27025	19074	10670	212255	160571	160572
13396	8179	3730	140272	103428	103429
23925	6615	13589	127474	127473	181951
21383	9513	17708	151158	151157	204935
69009	68870	68444	490189	489887	489888
16165	3656	15429	102818	102817	192819
35255	13129	28896	178992	178991	255812
19728	12122	2517	172011	92750	92751
32308	8502	26425	142903	142902	245633
22434	2606	17004	93561	93558	201145
6533	4228	2999	107505	97090	97091
29034	15036	5880	190594	121459	121460
19613	8777	11962	145177	145180	170828
12959	2190	12087	89673	89672	171734
22413	4680	14088	111305	111304	184846
26603	3779	12233	103819	103818	172830
33568	25139	69012	240084	240086	272841
24437	15960	7311	195730	133173	133174
26646	11155	10198	164432	156694	156695
19616	14651	1398	188318	82161	82162
14188	4229	4814	107510	107509	112475
28254	423	3286	72993	72992	99652
31771	23750	13896	234357	183736	183737
27154	10829	18733	161814	161813	210449
31614	6393	22109	125676	125675	226758
35427	30888	13291	263738	180059	180060
1133	11058	22906	79681	163683	79682
11058	1133	8344	79681	79680	141626
22433	14729	5489	188805	118197	118198
27294	11002	18869	163222	163221	211188
27746	11582	23673	167850	167849	233987
15905	7078	7080	131282	131281	131305
29436	14250	16771	185828	185827	199917
24764	7754	16384	136823	136822	197966
15394	6381	14493	125581	125580	187311
19024	10622	65518	160154	160156	211994
16657	8122	8124	139826	139825	139841
426	30501	64912	73023	262235	73025
19697	12077	12037	171660	171353	171356
18466	10484	18087	159022	159021	207016
11883	2662	3353	94073	94072	100240
31753	6307	6306	124976	124967	124968
23674	6273	15317	124696	124695	192178
34887	28999	34414	256223	256222	275397
1213	18376	30552	80426	208592	80428
26783	18376	1213	208591	80426	80427
28404	12425	12426	174223	174222	174232
21875	3996	13562	105550	105549	181797
17829	9663	12131	152358	152357	172077
35882	11297	29978	165575	165574	260156
22374	4736	16339	111807	111806	197723
22069	12140	19743	172136	172135	215815
30779	6810	12543	129048	129047	175066
8152	3823	3908	104182	104181	104849
20063	6859	12578	129469	129471	175321
27025	2582	19074	93342	93341	212255
35147	18464	10482	209033	159003	159004
461	10547	20084	73364	159549	73366
19079	10547	461	159548	73364	73365
36374	28849	3377	255639	100436	100437
27111	19749	10777	215845	161392	161393
12856	20258	28424	177245	218388	177246
13389	3117	8949	98159	98158	146575
26086	16233	2443	197145	92026	92027
36180	35638	2952	279542	96672	96673
8247	32038	66952	140842	267749	140844
19736	20211	12130	215774	172070	172071
16632	3827	15647	104210	104209	194024
17998	13494	9882	181372	154146	154147
16165	15429	6429	192819	125959	125960
16567	7993	7992	138808	138800	138801
35610	10598	10597	159962	159953	159954
22050	4216	17693	107413	107412	204842
23974	14019	2709	184459	94500	94497
15073	3320	5391	99940	99939	117387
23421	5941	5391	121941	117389	117390
16665	8133	9436	139910	139909	150556
28561	638	5047	75025	75024	114405
35794	30597	68705	262621	262623	280197
17988	17984	9869	206477	154035	154036
25810	3020	18408	97289	97286	208756
10914	1315	18481	81379	81381	162505
24347	168	14255	70674	70673	185854
24436	16069	7312	196276	133178	133179
26984	2267	15412	90402	90401	192720
25171	16782	1490	199985	83046	83047
29067	10597	26962	159957	159956	247806
32131	17284	2519	202599	92765	92766
27270	12494	67646	174718	174720	249041
14746	5508	12644	118372	118371	175761
24269	7080	7078	131307	131281	131284
20166	12726	19687	176338	176337	215500
30366	26462	68849	245786	245785	261716
16281	15739	7606	194520	135625	135626
19347	11613	11615	168096	168095	168116
14419	5111	5423	114949	114948	117641
31572	4391	4339	108878	108443	108444
10622	26984	65518	160157	247896	160156
19445	3719	11736	103338	103337	169076
15348	3162	6319	98573	98572	125061
7186	3932	3934	105022	105021	105033
20259	5736	12858	120283	120282	177256
26457	704	17997	75637	75634	206549
20730	157	67559	70571	70573	220591
34994	28365	12370	253677	173817	173818
12704	11852	3934	169996	105035	105036
23961	3004	25272	97137	97139	235249
26412	25328	2716	240899	94562	94567
13613	3866	3826	104507	104199	104200
35382	25219	27458	240460	240459	249813
22213	4429	4640	109205	109204	110961
28624	3742	8152	103525	103524	140067
23620	18495	6211	209182	124153	124154
67317	23904	16281	235012	197423	197424
24920	16384	7756	197968	136838	136839
